node1,node2
Temporal Pole Sup L.1,Frontal Inf Orb L.3
Temporal Pole Sup L.1,Olfactory L.1
Temporal Pole Sup L.1,Temporal Pole Sup L.5
Temporal Pole Sup L.1,Temporal Pole Mid L.3
Frontal Inf Orb L.3,Temporal Pole Sup L.2
Frontal Inf Orb L.3,Temporal Pole Sup L.3
Frontal Inf Orb L.3,Olfactory L.1
Frontal Inf Orb L.3,Rectus L.2
Frontal Inf Orb L.3,Temporal Pole Mid L.3
Olfactory L.1,Amygdala L.1
Olfactory L.1,ParaHippocampal L.1
Olfactory L.1,Temporal Pole Mid L.3
Olfactory L.1,ParaHippocampal R.2
Temporal Pole Sup L.5,Temporal Pole Mid L.1
Temporal Pole Sup L.5,Temporal Pole Sup L.4
Temporal Pole Sup L.5,Fusiform L.5
Temporal Pole Sup L.5,Temporal Pole Mid L.2
Temporal Pole Mid L.3,Temporal Pole Sup L.2
Temporal Pole Mid L.3,Temporal Pole Sup L.3
Temporal Pole Mid L.3,Hippocampus L.1
Temporal Pole Mid L.3,Amygdala L.1
Temporal Pole Mid L.3,ParaHippocampal L.1
Temporal Pole Mid L.3,Temporal Pole Mid L.2
Temporal Pole Mid L.3,Temporal Mid L.14
Temporal Pole Mid L.3,Temporal Pole Mid R.5
Frontal Sup L.1,Frontal Mid L.4
Frontal Sup L.1,Supp Motor Area L.3
Frontal Sup L.1,Paracentral Lobule L.2
Frontal Sup L.1,Frontal Mid L.8
Frontal Sup L.1,Frontal Mid L.11
Frontal Sup L.1,Frontal Sup L.8
Frontal Sup L.1,Frontal Sup L.11
Frontal Sup L.1,Precentral L.10
Frontal Mid L.4,Frontal Sup L.2
Frontal Mid L.4,Parietal Inf L.1
Frontal Mid L.4,Frontal Mid L.1
Frontal Mid L.4,Frontal Mid L.3
Frontal Mid L.4,Parietal Inf L.5
Frontal Mid L.4,Angular L.2
Frontal Mid L.4,Frontal Mid L.5
Frontal Mid L.4,Frontal Mid L.8
Frontal Mid L.4,Frontal Sup L.5
Frontal Mid L.4,Frontal Mid L.9
