id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33,role_34,role_35,role_36,role_37,role_38,role_39,role_40,role_41,role_42,role_43,role_44,role_45,role_46,role_47,role_48,role_49,role_50,role_51,role_52,role_53,role_54,role_55,role_56,role_57,role_58,role_59,role_60,role_61,role_62,role_63,role_64,role_65,role_66
Temporal Pole Sup L.1,4,18,3,3,30,0,80,24,10,20,3,1,4,0,1,34,0,438,26,0,439,141,23,30,0,52,21,18,90,128,10,7,10,0,0,4,26,0,0,11,12,4,6,0,2,2,0,0,1,6,1,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0
Frontal Inf Orb L.3,6,19,9,6,21,4,108,51,10,38,10,0,3,4,2,13,0,473,41,32,662,328,12,47,4,81,43,58,151,286,28,8,0,0,0,5,17,18,4,28,11,17,18,1,1,0,0,0,2,16,2,0,0,2,6,0,0,0,1,3,4,0,0,0,0,0,0
Olfactory L.1,6,27,9,6,47,4,141,85,28,42,10,1,3,4,2,38,0,715,152,56,852,550,52,68,4,161,52,64,233,360,64,16,4,2,13,34,14,18,4,39,10,21,17,1,11,2,0,0,16,18,2,0,0,7,6,0,0,0,1,3,4,0,0,0,0,0,0
Temporal Pole Sup L.5,5,15,6,4,10,2,63,32,8,16,5,2,4,2,1,1,0,176,15,14,286,166,7,7,1,47,12,17,60,100,13,3,14,2,1,0,8,2,2,9,8,9,6,0,5,3,0,0,2,6,1,2,0,3,5,0,0,0,1,1,1,1,0,0,0,0,0
Temporal Pole Mid L.3,11,47,44,11,96,84,275,398,55,46,66,6,7,12,3,104,84,1552,827,1158,2215,2968,175,36,138,330,35,277,642,809,364,28,63,45,14,64,26,14,60,136,40,102,25,16,28,7,0,0,31,17,14,13,0,11,14,8,0,1,2,0,10,0,0,0,0,0,0
Temporal Pole Sup L.2,4,19,3,3,31,0,100,25,13,26,3,0,3,0,1,32,0,531,35,0,623,172,25,36,0,87,49,26,134,176,9,9,0,0,0,8,22,0,0,29,6,3,19,0,0,0,0,0,3,10,1,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0
Temporal Pole Sup L.3,8,51,18,10,113,9,348,219,76,86,37,2,24,7,3,122,0,2333,476,148,2160,2022,241,128,14,663,159,300,572,880,220,56,24,6,11,80,112,26,17,212,148,150,91,19,20,2,0,0,48,21,11,29,0,54,23,6,1,2,30,17,2,2,0,3,1,0,0
Rectus L.2,4,10,5,1,5,2,41,26,7,4,2,0,0,0,0,0,0,81,14,16,224,128,4,1,1,47,4,8,32,41,6,0,0,0,1,4,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amygdala L.1,4,29,3,3,62,0,128,45,45,30,3,3,3,0,1,54,0,786,86,0,825,296,91,57,0,233,68,24,188,254,27,12,32,0,3,77,19,0,0,25,7,3,18,0,22,6,0,0,35,12,1,0,0,8,0,0,0,0,1,3,0,0,0,0,0,0,0
ParaHippocampal L.1,10,58,33,12,89,51,455,387,128,97,45,6,13,21,3,59,40,2144,574,937,4569,4043,142,118,73,1512,181,283,1825,1708,236,53,85,35,23,171,52,69,26,667,41,295,126,13,37,8,0,0,252,24,10,1,25,49,40,12,1,5,6,4,11,0,0,2,0,0,0
