id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33,role_34,role_35,role_36,role_37,role_38,role_39,role_40,role_41,role_42,role_43,role_44,role_45,role_46,role_47,role_48,role_49,role_50,role_51,role_52,role_53,role_54,role_55,role_56,role_57,role_58,role_59,role_60,role_61,role_62,role_63,role_64,role_65,role_66
Temporal Pole Sup L.1,15,86,37,68,149,18,461,432,138,572,142,8,92,143,152,96,3,2138,686,315,4241,3575,311,849,33,924,1083,1132,1134,3809,852,25,56,8,25,168,474,392,116,299,321,1516,747,59,52,54,0,0,121,1503,178,23,22,234,329,152,2,21,64,409,332,16,9,62,265,196,0
Temporal Pole Sup L.3,15,123,57,48,218,49,1189,944,332,476,243,13,138,108,55,143,2,6625,1709,1168,9659,12537,617,510,156,3543,959,2276,4621,7394,2103,128,187,52,27,412,614,327,254,1749,1060,2063,943,201,128,66,3,0,482,532,219,50,14,539,382,226,6,17,264,250,183,28,6,87,79,25,0
Frontal Inf Orb L.3,14,78,30,61,128,21,394,305,129,529,89,4,86,119,135,98,4,1872,454,311,3242,2091,269,747,40,771,1078,749,877,3257,385,19,39,6,20,160,413,393,90,229,288,1082,754,20,46,19,0,0,112,1392,87,12,45,256,282,57,0,10,61,375,264,13,4,75,213,177,0
Amygdala L.1,15,95,45,60,180,34,410,498,118,508,177,17,145,129,115,148,4,2065,764,458,3665,3390,289,779,89,717,1115,1256,950,3096,898,31,135,51,17,103,693,404,197,217,404,1386,528,82,74,84,1,0,69,1083,201,89,17,236,506,153,7,28,103,404,315,39,7,150,168,132,0
Olfactory L.1,20,88,106,84,108,230,586,937,139,559,485,6,82,248,177,49,224,2360,1153,2959,6024,8577,196,540,986,1120,797,3070,1778,4916,2204,41,41,38,24,115,263,639,921,506,338,2348,740,215,50,46,0,0,145,1426,710,38,121,257,426,382,1,10,41,299,677,13,13,50,381,215,0
Temporal Pole Sup L.5,12,60,30,36,81,17,319,270,141,196,93,12,85,63,47,35,0,1376,317,187,1896,1623,142,181,40,1155,161,375,482,1654,436,12,83,13,35,187,267,110,60,220,336,524,286,50,79,56,0,1,164,276,68,34,13,246,240,51,3,15,145,108,131,23,0,71,52,30,0
Temporal Pole Mid L.3,18,114,86,67,206,146,611,1064,163,522,385,22,154,168,117,167,86,2785,1741,2574,5970,9117,378,716,608,1148,925,2803,1611,4244,2419,35,197,113,86,155,757,380,594,419,512,2366,584,230,107,119,0,2,123,1012,481,71,36,322,565,297,3,32,114,328,414,59,7,157,184,123,0
Temporal Pole Sup R.1,14,84,28,63,156,11,425,331,128,547,91,7,100,121,141,121,1,2071,528,194,3729,2550,297,852,17,787,1108,733,1016,3425,538,24,62,5,15,164,550,332,66,234,346,1215,677,17,41,46,0,0,109,1442,106,28,17,240,340,101,1,10,63,414,247,22,16,79,227,186,0
Temporal Pole Sup R.2,16,111,63,57,223,70,940,899,247,474,284,11,135,104,102,208,25,5538,1768,1451,7910,11346,607,711,276,2671,728,2366,3369,5769,2169,93,122,47,40,380,673,251,248,1187,786,1815,729,207,77,35,1,1,327,924,416,62,10,417,263,169,3,15,140,284,230,45,1,157,136,102,0
Temporal Pole Mid R.2,12,105,33,33,171,20,1074,571,291,334,106,12,113,58,36,74,2,6234,888,449,8337,8223,434,333,42,3309,820,964,3997,5070,954,124,167,27,27,369,485,161,81,1578,891,1127,648,61,106,55,1,0,448,365,75,35,7,438,256,69,4,8,207,164,101,25,0,69,40,17,0
