id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33,role_34,role_35,role_36,role_37,role_38,role_39,role_40,role_41,role_42,role_43,role_44,role_45,role_46,role_47,role_48,role_49,role_50,role_51,role_52,role_53,role_54,role_55,role_56,role_57,role_58,role_59,role_60,role_61,role_62,role_63,role_64,role_65,role_66
Temporal Pole Sup L.1,10,70,27,18,188,22,406,307,111,177,59,28,45,32,7,277,3,2915,674,311,3089,2439,406,402,40,799,405,470,912,1476,264,48,293,58,26,139,325,106,57,192,169,395,222,19,123,83,5,0,78,97,13,35,5,115,113,39,15,38,46,26,26,20,3,9,5,0,0
Temporal Pole Sup L.2,12,102,41,25,344,46,795,730,271,274,115,11,48,42,17,503,12,7036,2470,1273,6185,8578,1476,712,126,2718,470,1309,2123,4177,1083,169,218,47,30,545,394,103,103,780,248,801,576,56,115,40,2,0,514,192,64,26,11,183,94,60,2,7,45,72,41,15,4,11,12,6,0
Frontal Inf Orb L.3,7,50,12,9,138,6,306,150,97,102,16,9,15,10,3,255,0,2294,378,108,2363,1156,367,253,7,698,265,169,716,855,71,35,94,10,21,162,127,32,8,150,73,135,174,3,68,18,1,0,96,46,2,2,2,72,26,4,6,10,6,9,8,3,0,2,1,0,0
Amygdala L.1,13,81,41,37,155,40,466,454,99,334,128,20,72,75,43,138,12,2594,703,571,4121,3615,217,570,100,850,689,921,1260,2517,669,53,189,52,54,84,390,287,124,266,330,892,296,64,93,93,5,0,59,467,93,36,28,167,205,83,9,43,46,150,131,16,1,30,55,24,0
Olfactory L.1,21,116,155,55,236,549,922,1664,318,436,575,25,85,148,58,202,1029,6903,3491,8527,9532,17340,1152,562,2286,3889,658,4487,3501,8260,2988,120,209,226,77,780,488,332,1106,1530,340,2217,916,341,143,154,1,2,871,512,462,22,88,371,301,262,6,50,84,174,292,21,4,35,85,30,0
Temporal Pole Sup L.5,13,60,45,33,135,48,332,377,73,215,147,21,43,57,34,211,16,2030,825,462,2593,2558,276,428,133,615,256,917,647,1652,628,41,184,55,38,96,226,129,136,146,168,543,197,86,101,88,0,4,38,227,118,14,14,95,111,77,5,44,32,76,80,8,0,16,39,16,0
Temporal Pole Mid L.3,17,103,91,45,184,194,638,1012,139,390,335,44,79,113,38,199,168,3175,1613,2913,5609,8907,290,559,720,1088,769,2625,1814,3851,1815,56,407,263,63,105,408,386,553,434,353,1454,391,229,184,249,4,5,100,357,220,32,51,200,293,204,16,63,52,139,160,28,19,26,36,20,0
Temporal Pole Sup R.1,8,54,15,13,116,5,341,150,88,120,29,22,32,17,5,108,0,2010,269,65,2231,1098,229,192,5,728,221,205,503,858,101,35,246,17,20,109,204,59,14,175,166,181,127,9,122,46,2,1,55,43,8,11,1,107,54,18,14,33,34,27,11,12,1,6,3,0,0
Temporal Pole Sup R.2,9,73,18,18,211,12,658,298,181,192,32,8,39,26,14,261,2,5087,889,290,4966,3579,991,386,18,1920,373,348,1683,2677,255,153,143,17,12,352,281,48,19,647,271,436,384,3,69,18,0,0,393,169,16,21,9,148,75,16,2,5,33,55,26,15,2,9,9,6,0
Insula R.3,4,28,2,4,61,0,206,29,50,31,1,4,8,2,1,72,0,1137,83,0,1336,219,127,38,0,479,26,3,335,239,10,30,40,0,8,90,37,1,0,120,61,25,36,0,50,2,0,0,40,5,0,2,0,25,6,0,3,4,5,5,1,1,0,0,0,0,0
Temporal Pole Mid R.5,12,90,47,19,171,78,546,627,146,177,99,37,56,38,5,143,56,3009,1013,1397,4227,5698,296,222,171,1152,384,767,1096,2027,614,69,408,169,90,151,322,131,112,337,191,611,185,37,209,98,2,6,105,40,20,18,24,156,156,48,12,36,56,20,21,30,4,9,2,0,0
Frontal Inf Tri L.2,16,153,72,48,621,121,1156,1470,471,579,275,14,109,95,69,1209,72,11454,6003,3706,8752,16753,3281,1661,472,4523,1455,3414,2753,9096,2979,306,340,83,133,1367,1022,210,308,1499,593,2456,1387,169,168,73,0,2,1015,890,303,186,33,451,280,110,2,17,215,239,210,13,2,52,90,51,0
Temporal Pole Sup L.3,12,101,40,26,274,44,814,671,195,250,111,28,67,46,19,423,16,5534,1895,1048,6501,7624,700,394,100,1824,518,993,2353,3440,1005,136,413,106,51,290,404,114,126,548,472,837,302,52,179,91,1,1,190,172,55,39,6,226,158,58,8,32,72,69,58,28,1,18,17,6,0
Frontal Inf Orb L.7,7,40,15,6,73,10,363,174,81,42,21,2,10,3,1,38,3,2811,326,188,3127,1911,218,66,9,932,132,131,1018,748,117,30,17,6,17,125,22,9,9,199,79,68,76,9,18,3,0,0,85,2,4,7,1,16,14,0,0,0,10,2,0,1,0,0,0,0,0
Temporal Sup L.8,13,119,41,37,282,40,1123,751,390,419,124,19,110,83,39,263,12,7931,1786,1061,8641,9695,1171,639,95,4349,1047,1213,2795,6592,1234,237,244,65,69,733,704,314,134,1512,745,1440,930,55,201,80,5,1,855,483,78,52,28,557,376,97,9,22,235,157,134,29,9,59,57,16,0
Temporal Pole Mid R.2,11,91,33,22,187,31,779,540,193,216,85,23,54,34,15,136,7,4875,1067,725,6104,6492,423,261,68,1984,494,756,2096,3103,750,139,320,67,39,270,290,102,82,549,376,589,273,33,150,85,2,0,218,143,42,24,2,213,122,44,8,22,56,53,34,21,1,11,12,5,0
Temporal Sup R.3,27,219,209,142,562,587,1692,3125,460,1495,1526,80,457,412,400,709,677,11923,7064,12173,13414,34435,1804,2783,4309,4278,3209,15206,4083,17948,10586,240,1324,658,138,662,3071,1365,2621,1462,2515,9190,2470,1938,668,597,1,19,545,4337,3698,386,141,1659,1456,1256,19,278,532,2126,1406,188,47,801,666,791,0
Temporal Sup R.11,14,122,49,42,281,57,1144,860,388,450,159,31,107,99,49,267,18,7729,2014,1470,8906,10788,1117,619,174,4173,1048,1422,2920,7128,1547,227,457,144,73,736,588,365,167,1449,770,1622,1000,69,324,114,4,2,836,584,115,61,40,487,382,129,41,41,210,195,188,41,10,47,64,27,0
Temporal Pole Mid L.1,10,34,18,27,40,9,259,108,43,154,36,2,20,45,30,26,0,1079,120,89,1760,870,50,168,15,440,138,173,445,1285,87,34,19,3,11,41,58,111,20,99,134,237,124,5,49,6,0,0,33,222,16,3,13,61,67,28,0,6,8,48,58,0,2,7,38,15,0
Thalamus L.2,10,91,23,22,278,16,662,374,206,247,49,23,76,38,17,436,1,4820,1087,376,8224,3856,954,499,29,1962,598,488,2395,2717,342,61,356,37,19,310,544,114,37,733,442,623,383,13,138,47,6,4,293,206,19,58,13,257,167,31,19,26,107,77,40,43,1,34,22,4,0
Hippocampus L.2,6,65,4,11,220,0,491,89,129,140,6,3,45,4,10,388,0,4043,252,0,4252,1102,540,323,0,1296,357,66,1285,1123,69,65,69,0,41,189,406,6,0,421,243,89,149,0,70,9,0,0,124,141,4,36,0,164,27,0,1,0,42,51,6,3,0,23,0,5,0
Temporal Pole Mid R.1,12,53,35,31,74,36,365,316,76,179,87,10,34,68,29,49,13,1754,425,475,2654,2739,79,198,69,818,206,462,675,1647,445,43,90,29,39,90,124,127,109,189,167,534,166,20,82,33,1,1,57,185,39,9,25,73,124,68,1,23,20,45,94,5,6,15,40,12,0
Thalamus R.2,16,129,62,58,336,63,1226,984,369,627,262,13,149,155,80,327,7,9259,2467,1365,14793,12784,1201,1211,229,4985,1238,2708,6197,9017,2103,182,190,49,51,704,971,530,281,2377,909,2647,1476,188,122,65,0,0,918,999,253,137,52,606,477,277,6,21,278,321,321,39,27,119,137,48,0
Hippocampus R.1,15,123,57,48,325,65,1036,870,335,554,217,30,119,112,61,292,26,7476,2114,1300,12248,10456,1160,1135,203,4217,1295,2331,4278,7329,1623,127,422,108,38,687,882,478,241,1734,538,1874,1332,133,153,133,6,5,868,817,196,59,29,540,331,185,11,42,149,246,226,65,8,78,81,37,0
Hippocampus R.2,12,79,32,34,173,22,451,365,104,330,94,23,64,66,38,201,5,2771,626,330,3851,2970,276,611,36,846,690,761,1178,2405,467,46,254,35,35,91,408,235,94,271,273,750,308,42,94,108,6,0,72,432,56,33,12,170,183,67,6,48,42,149,116,16,4,23,41,22,0
ParaHippocampal R.2,15,79,68,37,118,139,578,606,120,328,189,16,70,89,38,87,142,2826,721,1696,5701,5439,194,438,369,1200,654,1440,1746,3340,589,50,154,81,44,100,351,356,300,462,416,1009,360,58,101,71,1,0,136,395,131,31,62,204,277,84,8,30,45,135,137,18,8,35,54,20,0
Temporal Pole Sup R.4,11,70,28,27,199,15,338,331,72,205,83,18,64,41,26,376,2,2437,960,212,2694,2321,378,409,27,576,285,572,681,1322,484,47,203,30,50,72,394,71,54,149,226,540,137,43,82,62,1,2,33,197,59,44,4,104,143,50,6,36,40,84,53,9,0,34,28,10,0
Putamen L.1,4,36,3,3,146,0,209,64,82,32,2,0,6,2,0,337,0,2102,281,0,1490,677,498,127,0,638,14,24,477,355,28,39,0,0,0,173,28,2,0,121,20,36,54,0,1,0,0,0,80,0,0,1,0,20,6,1,0,0,9,0,0,0,0,0,0,0,0
Thalamus L.1,13,134,45,33,374,56,1551,803,506,411,136,25,172,55,39,416,23,12845,1998,1331,17763,12054,1550,788,166,7578,1221,1518,8115,8048,944,282,389,64,42,1036,1047,173,121,3439,1460,1493,1218,59,175,70,3,5,1390,501,116,197,15,828,323,46,15,41,473,251,110,53,0,143,36,23,0
Lingual L.3,31,371,241,224,1421,586,4066,5528,2021,3084,2150,84,1175,931,828,2019,479,34294,20797,18732,28827,77506,10122,8040,4575,20174,5163,28392,15842,59465,22964,1519,1964,841,818,6459,9328,2543,4798,11490,9730,28508,12087,3411,2145,542,8,0,6955,11417,5940,1580,544,9597,4604,2728,139,381,4871,6114,4534,508,77,2995,2403,1976,0
Rectus L.2,4,38,3,3,157,0,203,46,78,46,3,2,9,0,1,355,0,2099,163,0,1582,417,493,182,0,627,83,42,445,348,14,33,9,0,0,143,82,0,0,138,37,9,78,0,6,4,0,0,65,14,1,19,0,26,0,0,1,0,17,9,0,0,0,0,0,0,0
Putamen R.1,4,40,3,3,175,0,232,61,84,37,2,0,11,2,0,392,0,2362,240,0,1707,606,544,144,0,688,38,18,518,352,21,40,0,0,0,146,87,8,0,151,43,40,61,0,4,0,0,0,76,0,0,27,0,30,11,1,0,0,18,0,0,0,0,0,0,0,0
Thalamus R.1,17,154,64,72,349,58,1977,1093,521,837,302,12,255,182,138,339,11,13695,2483,1397,22564,17243,1112,1273,211,8083,2077,3157,11589,15008,2452,393,139,32,16,755,1208,719,290,4834,2937,3365,2375,229,67,74,1,1,1528,1654,412,253,56,1128,810,311,0,27,630,805,452,27,26,304,230,152,0
Frontal Sup Orb R.3,5,38,6,4,158,0,226,79,70,47,9,2,11,0,1,357,0,2226,320,0,1668,684,487,183,0,580,55,93,551,419,47,33,9,0,3,137,88,0,0,135,47,23,76,3,6,4,0,0,60,13,2,19,0,26,0,0,0,1,18,9,0,0,0,0,0,0,0
Temporal Pole Sup L.4,5,32,0,10,67,0,193,0,38,82,0,0,23,0,10,77,0,1097,0,0,1280,0,108,131,0,316,125,0,338,507,0,41,0,0,0,40,123,0,0,66,85,0,63,0,17,0,0,0,14,96,0,7,0,61,0,0,0,0,14,27,0,0,0,14,0,5,0
Fusiform L.5,4,27,1,5,50,0,152,9,41,24,0,2,22,2,2,26,0,777,18,0,1034,60,108,17,0,315,14,0,224,158,0,29,19,0,0,43,69,1,0,64,96,9,15,0,9,0,0,0,20,8,0,18,0,36,9,0,1,0,26,6,0,4,0,7,1,0,0
Temporal Pole Mid L.2,9,59,17,19,135,8,353,223,94,161,37,13,31,21,18,121,1,2165,491,149,2470,1923,295,265,11,729,338,252,620,1310,276,49,156,19,24,139,165,82,14,241,105,270,181,18,100,39,2,2,74,147,21,15,8,70,53,0,8,16,13,47,37,5,0,14,7,9,0
Temporal Pole Mid R.3,9,44,16,20,72,10,271,143,44,145,31,6,26,20,23,55,2,1341,203,124,1820,1054,88,197,12,361,232,192,491,1037,141,39,60,12,23,40,118,69,25,111,121,157,110,0,54,16,2,0,13,182,28,10,3,48,46,4,1,9,9,61,20,4,0,10,19,13,0
Temporal Pole Mid R.4,16,78,85,35,117,200,572,828,147,208,259,33,34,72,29,76,227,2739,1133,2758,4677,7804,232,240,639,1480,258,1511,1292,2953,1389,62,357,250,69,176,111,127,390,469,168,775,288,128,168,136,5,3,149,140,167,18,24,99,104,100,21,39,20,42,96,9,6,7,29,14,0
ParaHippocampal L.1,11,108,32,23,295,34,903,535,238,259,73,38,105,40,18,274,14,6225,1263,682,10976,6464,889,468,64,2601,641,691,3267,3251,580,93,562,117,67,291,650,155,78,986,746,733,415,18,190,87,4,4,328,207,37,102,10,379,222,35,19,40,159,87,47,58,2,56,20,5,0
Temporal Mid L.14,11,99,34,21,272,33,635,564,216,220,90,20,83,27,15,312,10,4482,1465,695,4865,5629,837,386,76,1669,478,941,1069,2587,722,132,299,66,45,369,516,74,68,486,436,649,351,45,146,56,1,0,207,153,53,64,4,249,113,32,11,22,117,50,29,23,0,58,7,6,0
Temporal Mid R.14,13,113,52,26,317,81,810,842,227,248,148,35,98,33,24,426,54,6542,2365,1784,6436,9095,910,369,228,1869,522,1328,1951,3392,1179,192,542,179,85,393,564,92,133,611,519,877,274,72,209,102,5,0,185,231,116,51,5,322,138,40,14,40,126,77,42,32,0,78,9,16,0
Frontal Sup L.1,12,149,32,34,622,24,2419,742,511,519,91,49,140,66,39,1341,6,27447,2860,786,26560,16604,3075,1566,48,8206,1612,1315,17757,11495,951,1246,1236,97,157,1295,1348,203,66,5952,1303,1568,1398,57,521,166,4,7,1231,620,49,100,30,699,332,38,36,90,194,230,140,63,1,96,39,21,0
