id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33,role_34,role_35,role_36,role_37,role_38,role_39,role_40,role_41,role_42,role_43,role_44,role_45,role_46,role_47,role_48,role_49,role_50,role_51,role_52,role_53,role_54,role_55,role_56,role_57,role_58,role_59,role_60,role_61,role_62,role_63,role_64,role_65,role_66
Temporal Pole Sup L.1,17,219,70,66,828,97,3473,1550,1194,1034,299,95,365,161,123,1625,53,36731,5617,2817,42070,29713,5853,2994,358,20471,2855,3957,22327,24601,2787,1122,2361,349,707,3877,2721,897,389,9077,3943,4234,4281,150,1683,465,13,13,4714,1756,410,330,41,2548,1120,234,116,235,1137,887,394,213,27,450,189,135,0
Temporal Pole Mid L.1,24,339,84,192,1754,58,3913,2155,2256,3320,490,134,1027,694,782,4992,2,46295,10197,1707,49842,29198,14363,14509,205,30469,6726,6540,16336,50202,5613,964,2701,470,460,8435,10723,3257,518,10578,8945,16236,16294,359,1618,822,44,1,10067,13939,872,1616,282,8657,4755,1010,627,786,5283,6308,2772,659,160,2176,2503,1943,0
Temporal Pole Sup L.2,15,275,46,59,1231,26,4123,1623,1801,1289,199,51,418,122,108,2015,0,50899,6367,1365,49593,34097,8133,4077,73,26669,5591,3826,23078,30393,3255,1225,1364,116,597,5781,4702,644,146,10781,4575,4834,5777,163,1211,264,23,0,7923,2408,231,588,20,3788,1032,136,105,97,1777,1121,333,152,4,424,152,107,0
Frontal Inf Orb L.3,9,144,17,19,833,12,2095,489,842,393,32,45,90,19,21,2568,3,27752,3013,485,28116,8605,7009,1317,18,13143,1584,515,11421,9580,463,1067,1268,61,268,3678,1147,149,19,5396,997,517,1669,0,729,134,16,6,3608,436,26,95,5,541,110,4,66,51,183,193,32,24,0,41,4,15,0
Amygdala L.1,19,216,85,86,778,122,3475,1719,1068,1143,420,101,412,239,188,1755,54,34206,6005,3290,44550,31895,5083,3259,457,17915,2246,4877,23296,26704,3734,1144,2516,442,552,3666,2643,970,716,8797,5498,5555,4484,316,1358,508,26,11,3903,2336,633,295,106,2746,1408,314,140,291,1230,1056,583,303,46,617,406,245,0
Frontal Inf Orb L.4,45,549,521,469,2244,2468,5408,11069,1685,7293,6049,479,2418,2901,2772,4446,5498,59033,36191,69924,73185,162245,9944,22735,26833,20128,22595,80418,27704,107881,58503,981,8886,5987,1836,3130,25298,18246,24760,7834,15494,71334,17701,8500,4407,5874,119,133,2959,44302,25433,3776,3238,10177,19409,9733,308,3058,4913,19999,21107,3008,354,8725,12136,11403,0
Temporal Pole Sup L.4,32,483,214,282,2946,367,4546,5593,2569,4864,1962,298,1960,1395,1236,9675,153,65848,30360,11351,58295,75800,22193,21906,2369,31298,12431,27684,18689,75973,23822,1039,6950,1568,1181,9568,24558,7542,4588,9429,10496,37224,18544,2667,2818,3040,98,43,8266,21067,5514,4355,705,11598,11901,4284,425,1635,8799,10925,7206,1664,325,5761,4736,3413,0
Fusiform L.5,22,310,64,167,1601,36,3793,1679,2109,2893,326,90,879,520,658,4865,1,43852,7941,1157,47897,23508,13758,12959,111,28741,5104,4577,17221,44598,3729,956,1837,250,488,8426,8672,2239,270,10270,8112,12328,14735,207,1687,483,30,1,9889,11735,529,1440,188,8061,3497,565,262,510,4264,5340,1887,429,108,1779,1855,1594,0
ParaHippocampal L.1,9,228,14,22,2063,6,2982,628,1935,708,30,30,214,20,28,9327,0,51939,4739,352,38112,13307,24102,5133,8,25945,3409,845,19728,14821,447,959,1192,46,234,12117,3462,126,20,9935,1809,1197,5077,1,554,87,13,0,9905,855,30,1030,0,1916,224,4,54,30,1391,492,22,22,1,120,22,18,0
Temporal Pole Sup L.5,20,311,54,136,1659,32,3763,1554,2167,2389,246,152,831,384,478,5085,0,44864,7702,926,46851,21633,14587,10942,92,28934,5108,3260,17038,37098,3482,976,3351,402,501,9372,8557,1448,207,9871,7779,9767,12234,152,2137,613,84,23,10399,8605,319,1135,153,7514,2796,354,677,711,3864,3724,1311,694,40,1629,1186,1031,0
Temporal Pole Mid L.3,27,288,190,161,986,449,4884,3543,1698,2147,1355,215,684,693,428,3315,393,42196,11015,10594,56140,67068,9064,7306,2781,25090,3083,15814,30641,52640,11718,1025,4842,1379,1668,5786,4818,3376,3204,13352,8484,14515,10319,1600,3371,1780,16,89,7724,5818,2548,392,438,6495,3696,1972,339,737,2301,2172,2562,738,136,1298,1251,665,0
Temporal Pole Sup R.1,16,175,41,79,475,26,3233,790,778,979,158,43,385,180,196,862,0,30053,2478,719,39347,16853,2318,1813,76,14950,1824,1596,22802,20840,1397,1017,976,68,364,1619,1837,741,137,8262,6137,3123,3174,48,741,124,3,0,2368,2346,222,222,49,2455,1045,171,25,152,1068,1144,428,186,28,651,373,288,0
Temporal Pole Sup R.2,33,524,353,175,2207,1558,6661,10282,2922,3190,2822,321,1327,625,451,3973,3242,71035,39939,60994,73354,190496,13733,8777,12895,37751,13104,46900,34664,95874,38506,1537,8124,5023,3157,8908,12141,3221,7676,17002,9781,33395,12536,4801,4902,2425,54,123,10245,8106,6212,2647,306,9078,5708,1782,567,862,5557,4253,2114,695,56,2647,1070,766,0
Temporal Pole Mid R.2,17,313,72,64,1464,100,4593,2520,2154,1450,315,80,439,150,115,2534,48,59290,10579,4645,51436,53222,10694,4842,397,31697,6034,6400,24134,38331,5154,1428,2459,380,794,7651,5354,832,373,13482,4144,6738,6968,218,1951,445,7,1,9613,2682,394,554,41,4422,1249,191,107,152,2001,1180,434,138,3,396,171,110,0
Insula R.3,5,73,4,6,296,0,940,68,401,108,4,14,44,4,2,481,0,10364,192,0,13620,1048,2016,289,0,5975,235,63,5032,1837,12,382,259,0,19,1656,496,28,0,2215,278,62,583,0,139,9,5,0,1432,45,1,32,0,335,28,2,13,10,123,16,1,14,0,11,1,0,0
Hippocampus R.2,19,281,74,97,1855,86,3346,2002,1853,1578,356,150,589,288,239,7483,35,43469,12476,2795,43920,30607,18165,8230,303,24141,2193,5094,17533,33011,4791,1282,4239,479,569,9925,6377,1168,497,8801,4533,7797,8514,220,1759,722,56,16,8677,3823,520,1385,133,4400,1988,403,200,504,2447,1585,850,481,36,953,531,348,0
Temporal Pole Sup R.4,36,409,315,315,2006,914,4516,6027,2350,4520,3088,253,1631,1792,1346,5557,1063,52982,26003,20974,62175,77335,15822,19028,7318,30064,7170,36711,19216,80825,25038,927,4834,2515,1077,7855,16956,9120,9819,9594,12016,40468,18992,4654,2866,2471,40,67,8385,20072,8989,2716,1455,10902,11324,6244,587,1280,8211,9882,9559,1579,429,4548,5815,3560,0
Temporal Pole Mid R.5,20,241,94,96,564,125,4163,1865,1231,1388,501,141,522,315,199,495,32,37539,3513,2849,48205,38699,2606,2319,557,22602,3583,6038,26769,32868,4220,886,2762,505,880,2553,2912,1550,702,12278,6379,6982,5520,503,1896,800,17,5,4612,2838,624,403,181,3680,1977,550,252,479,1750,1318,1015,460,27,759,436,218,0
Fusiform L.1,46,513,556,479,1853,2794,5459,10705,1825,6860,6314,347,2413,3454,2618,3129,6353,54757,33678,70352,78826,159183,9762,18812,30582,23611,19748,77812,31298,114352,53534,1027,6169,5571,1322,4227,21908,19409,27037,9925,15742,75105,19786,10520,3048,4221,47,108,4096,38623,22545,2471,6529,11312,23706,10701,319,1738,6116,17284,25147,2489,593,9339,13915,9263,0
Temporal Inf L.1,39,455,291,450,2004,476,5010,5270,1402,6604,3432,379,2329,2475,2756,4313,171,57379,16547,11138,71531,75976,10005,22197,3997,18791,17658,37920,22182,88419,25586,930,8020,1355,707,2726,23899,15947,6620,6891,19593,46456,15931,7273,3047,3429,76,146,2466,42895,13147,4057,1838,10127,15252,7408,205,3322,4558,18883,18969,2965,254,9273,11598,10976,0
Temporal Inf L.3,17,277,35,101,1123,14,4173,822,1665,1822,147,70,824,189,330,2056,0,48844,3026,437,45519,13282,7928,4738,34,26795,5611,2289,21875,28292,678,906,1930,34,274,4010,7207,885,108,13235,10226,4467,7209,33,1654,257,21,0,7139,5557,297,1050,20,7296,1819,129,137,284,3133,3226,493,372,35,1756,547,684,0
Temporal Inf L.8,49,404,547,629,921,2352,4864,8300,1231,7534,6775,218,1561,5103,4194,994,4385,35978,14965,48584,74824,127154,3392,15337,25825,18447,18825,66528,27570,120279,50389,840,3579,3107,659,2364,10647,26701,30087,8025,12964,77540,18328,10926,2486,3352,5,82,2588,59132,25811,810,8915,7160,19261,17617,198,1334,2502,16812,43455,1566,1139,4754,25603,18113,0
